"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"10/27/2016","Withdrawal ATM ATM 1664 Garnet Avenue","Withdrawal at ATM #000499 ATMWithdrawal at ATM #000499 ATM San Diego County Cu 1664 Garnet Ave Sa","200.00","debit","Cash & ATM","Classic Checking","",""
"10/27/2016","Transfer from Classic Checking","Payment From Share 90 PrincipPayment From Share 90 Principal $76.57","76.57","credit","Credit Card Payment","Visa Platinum","",""
"10/27/2016","Oro Liquor Market","ORO LIQUOR & MARKET LOS ANGELESCA           10/27","10.50","debit","Groceries","CHASE COLLEGE","",""
"10/27/2016","Uber Us Oct","UBER   *US OCT26 3T6M 866-576-1039 CA        10/27","6.67","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/27/2016","Uber Us Oct","UBER   *US OCT26 WN7I 866-576-1039 CA        10/27","5.15","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/27/2016","Venmo","VENMO            PAYMENT    321266868       WEB ID: 3264681992","13.00","debit","Transfer","CHASE COLLEGE","",""
"10/27/2016","DMV","CA DMV HOLLYWOOD COLE HOLLYWOODCA   653705  10/27","27.00","debit","Auto & Transport","CHASE COLLEGE","",""
"10/27/2016","Taco Stand","THE TACO STAND LA 54LA JOLLA CA24224436302 8585516666 320163010980774753","8.55","debit","Restaurants","Delta SkyMiles","",""
"10/27/2016","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0062607 626-599-3700 320163010988273206","26.92","debit","Groceries","Delta SkyMiles","",""
"10/27/2016","CVS","CVS PHARMACY SAN DIEGO CA10010536 8007467287 320163010988666901","30.50","debit","Pharmacy","Delta SkyMiles","",""
"10/27/2016","Vons","VONS STORE 46SAN DIEGO CAGROCERY STORE 320163010984187688","6.27","debit","Groceries","Delta SkyMiles","",""
"10/27/2016","Marshalls","MARSHALLS SAN DIEGO CA00491000032 8886277425 320163010988667717","49.66","debit","Clothing","Delta SkyMiles","",""
"10/27/2016","Robert Cromeans Salon","A ROBERT CROMEANS SAVISTA CA1608515018 6195951128 320163010984362006","105.00","debit","Hair","Delta SkyMiles","",""
"10/26/2016","Withdrawal ATM ATM 1664 Garnet Avenue","Withdrawal at ATM #000268 ATMWithdrawal at ATM #000268 ATM San Diego County Cu 1664 Garnet Ave Sa","500.00","debit","Cash & ATM","Classic Checking","",""
"10/26/2016","City Parking","LA CITY PARKING METER LOS ANGELES CA         10/25","1.00","debit","Parking","CHASE COLLEGE","",""
"10/26/2016","Shatto 39 Lanes","SHATTO 39 LANES LOS ANGELES CA10/25","20.00","debit","Amusement","CHASE COLLEGE","",""
"10/26/2016","American Vintage","AMERICAN VINTAGE LOS ANGELES CA779380  10/26","17.44","debit","Uncategorized","CHASE COLLEGE","",""
"10/26/2016","Bizzy B","BIZZY B LOS ANGELES CA390078  10/26","10.89","debit","Clothing","CHASE COLLEGE","",""
"10/26/2016","Marshalls","MARSHALLS SAN DIEGO CA00470100035 8886277425 320163000971230624","29.15","debit","Clothing","Delta SkyMiles","",""
"10/25/2016","Vons Fuel","VONS FUEL 46SAN DIEGO CAAUTO FUEL DISPENSER 320162990956492650","20.69","debit","Gas & Fuel","Delta SkyMiles","",""
"10/25/2016","Target","TARGET BALBOA 2465 SAN DIEGO CA00784529 DISCOUNT STORE 320162990963459828","88.19","debit","Shopping","Delta SkyMiles","",""
"10/25/2016","California Pizza Kitchen","CALIFORNIA PIZZA KITLA JOLLA CA581627 RESTAURANT 320162990953412592","44.96","debit","Restaurants","Delta SkyMiles","",""
"10/25/2016","Sprint PCS","SPRINT WIRELESS 800-639-6111 KSB438JVQTDKG WIRELESSSVCS 320162990957654289","242.21","debit","Mobile Phone","Delta SkyMiles","",""
"10/25/2016","CVS","CVS PHARMACY SAN DIEGO CA10039144 8007467287 320162990959722507","8.81","debit","Pharmacy","Delta SkyMiles","",""
"10/25/2016","Canters Fairfax","CANTERS FAIRFAX LOS ANGELES CA10/25","13.00","debit","Restaurants","CHASE COLLEGE","",""
"10/25/2016","Dba United Oil","DBA UNITED OIL 4 LOS ANGELES CA820019  10/25","6.25","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/24/2016","Withdrawal Great Lakes","Withdrawal GREAT LAKES Id: 91Withdrawal GREAT LAKES Id: 9102000901  Co: Great Lakes","144.60","debit","Student Loan","Classic Checking","",""
"10/24/2016","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0031010 626-599-3700 320162980943740695","8.57","debit","Groceries","Delta SkyMiles","",""
"10/24/2016","Spotify","SPOTIFY USA NEW YORK3TF6Q2IRL5S BUSINESS SERVICE 320162980949605316","9.99","debit","Music","Delta SkyMiles","",""
"10/24/2016","Usa Teso","USA 63097 TESO630970SAN DIEGO CA501000912 0000000000 320162980941388373","6.50","debit","Gas & Fuel","Delta SkyMiles","",""
"10/24/2016","Unleashed","UNLEASHED #215521520SAN DIEGO CA000013305 000-0000000 320162980945490906","12.38","debit","Pets","Delta SkyMiles","",""
"10/24/2016","Motorino Pizza House","MOTORINO PIZZA HOUSESAN DIEGO CA68820040 619-710-5515 320162980946235878","4.28","debit","Restaurants","Delta SkyMiles","",""
"10/24/2016","CVS","CVS PHARMACY SAN DIEGO CA10019601 8007467287 320162980946783555","10.75","debit","Pharmacy","Delta SkyMiles","",""
"10/24/2016","Redbox","REDBOX.COM DVD RENTA866-733-26923289552SM3 DVD RENTAL 320162980947464462","2.16","debit","Movies & DVDs","Delta SkyMiles","",""
"10/24/2016","7-Eleven","7-ELEVEN 13603 00071SAN DIEGO CA790411024 7 858-483-1394 320162980941143576","6.48","debit","Fast Food","Delta SkyMiles","",""
"10/24/2016","Uber Us Oct","UBER   *US OCT21 FBBH 866-576-1039 CA        10/22","7.36","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/24/2016","Starbucks","STARBUCKS STORE 22601 LOS ANGELES CA         10/21","8.20","debit","Coffee Shops","CHASE COLLEGE","",""
"10/24/2016","Dba United Oil","DBA UNITED OIL 4 LOS ANGELES CA758882  10/22","6.25","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/24/2016","Dba United Oil","76 - DBA UNITED OIL 48 LOS ANGELES CA        10/22","20.38","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/24/2016","Vans","VANS #0347 SAN DIEGO CA10/24","70.20","debit","Clothing","CHASE COLLEGE","",""
"10/24/2016","Tere's Mexican Grill","TERES MEXICAN GRILL LOS ANGELESCA           10/22","7.85","debit","Restaurants","CHASE COLLEGE","",""
"10/24/2016","AT&T","ATT*BILL PAYMENT 800-288-2020 TX10/22","89.87","debit","Home Phone","CHASE COLLEGE","",""
"10/24/2016","Forever 21","0038 FOREVER 21 SAN DIEGO CA10/24","26.89","debit","Clothing","CHASE COLLEGE","",""
"10/23/2016","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0061217 626-599-3700 320162970934499912","97.01","debit","Groceries","Delta SkyMiles","",""
"10/23/2016","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320162970929798441","66.72","debit","Groceries","Delta SkyMiles","",""
"10/23/2016","Museum Cafe","MUSEUM CAFE BY GIUSELA JOLLA CA85189936297 858-456-6427 320162970925344120","16.96","debit","Coffee Shops","Delta SkyMiles","",""
"10/22/2016","Gelson Market","GELSON'S MARKET #30 SAN DIEGO CA000015234 9999999999 320162960912428824","15.29","debit","Groceries","Delta SkyMiles","",""
"10/21/2016","Forever 21","0038 FOREVER 21 0038SAN DIEGO CA54533000 858-678-9483 320162950899427692","50.11","debit","Clothing","Delta SkyMiles","",""
"10/21/2016","KFC","KFC SAN DIEGO CA92300006 780-904-0994 320162950905311169","5.93","debit","Fast Food","Delta SkyMiles","",""
"10/21/2016","Ross Dress For","ROSS DRESS FOR LESS LA JOLLA CA00292002366 999-000-0000 320162950900444651","24.83","credit","Credit Card Payment","Delta SkyMiles","",""
"10/21/2016","McDonald's","MCDONALD'S F876 LOS ANGELES CA10/19","6.53","debit","Fast Food","CHASE COLLEGE","",""
"10/21/2016","Urban Outfitters","URBAN-OUTFITTERS #0032 LOS ANGELES CA        10/20","33.27","debit","Clothing","CHASE COLLEGE","",""
"10/21/2016","Bar Chateau Marmont","BAR CHATEAU MARMONT LOS ANGELESCA           10/20","17.00","debit","Alcohol & Bars","CHASE COLLEGE","",""
"10/21/2016","CVS","CVS/PHARMACY #09 09503 Los Angeles CA848181  10/21","12.38","debit","Pharmacy","CHASE COLLEGE","",""
"10/20/2016","Transfer from Classic Checking","Payment  Principal $5,000.00Payment  Principal $5,000.00  Interest $0.68","5000.68","credit","Credit Card Payment","Eqvisa/1153 Agate Street","",""
"10/20/2016","Principal Interest","INTERESTPayment  Principal $5,000.00  Interest $0.68","0.68","debit","Uncategorized","Eqvisa/1153 Agate Street","",""
"10/20/2016","Deposit","Deposit","10000.00","credit","Income","Classic Checking","",""
"10/20/2016","Transfer to Eqvisa/1153 Agate Street","Withdrawal","5000.68","debit","Credit Card Payment","Classic Checking","",""
"10/20/2016","Deposit Acculitx Id","Deposit Acculitx Inc Id: H951Deposit Acculitx Inc Id: H951347393  Co: Acculitx Inc","3378.26","credit","Income","Classic Checking","",""
"10/20/2016","Heavenly Couture Jolla","Heavenly Couture Jolla La JollaHeavenly Couture Jolla La Jolla Ca Date 10/19/16 0      6293428076     6 5651","19.43","debit","Clothing","Visa Platinum","",""
"10/20/2016","Ross Dress For Less","ROSS DRESS FOR LESS LA JOLLA CA00292002337 999-000-0000 320162940885504174","43.17","debit","Shopping","Delta SkyMiles","",""
"10/20/2016","7-Eleven","7-ELEVEN 13610 00071LA JOLLA CA190031020 7 858-454-3432 320162940884297157","9.16","debit","Fast Food","Delta SkyMiles","",""
"10/20/2016","Starbucks","STARBUCKS STORE 22601 LOS ANGELES CA         10/18","4.65","debit","Coffee Shops","CHASE COLLEGE","",""
"10/20/2016","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","495.00","credit","Income","CHASE COLLEGE","",""
"10/20/2016","Dba United Oil","DBA UNITED OIL 4 LOS ANGELES CA729017  10/20","6.25","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/20/2016","Uber Us Oct","UBER   *US OCT19 5JY3 866-576-1039 CA        10/20","6.90","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/19/2016","Transfer to Classic Checking","Advance","5000.00","debit","Transfer","Eqvisa/1153 Agate Street","",""
"10/19/2016","Transfer from Eqvisa/1153 Agate Street","Deposit","5000.00","credit","Transfer","Classic Checking","",""
"10/19/2016","ULTA","ULTA SAN DIEGO CA67110201 COSMETIC STORE 320162930871671642","21.60","debit","Personal Care","Delta SkyMiles","",""
"10/19/2016","CVS","CVS PHARMACY SAN DIEGO CA10135834 8007467287 320162930874467229","14.86","debit","Pharmacy","Delta SkyMiles","",""
"10/19/2016","Tme Jkjnn Glamour","TME*JKJNN7*GLAMOUR 877-273-7608 320162930867005698","15.42","credit","Credit Card Payment","Delta SkyMiles","",""
"10/19/2016","Glamour Magazine Louisville","GLAMOUR MAGAZINE LOUISVILLE CO 320162930867005696","2.00","credit","Credit Card Payment","Delta SkyMiles","",""
"10/19/2016","Trader Joe's","TRADER JOE'S #240 QPS LOS ANGELES CA 447752  10/19","54.16","debit","Groceries","CHASE COLLEGE","",""
"10/19/2016","City Parking","LA CITY PARKING METER LOS ANGELES CA         10/18","1.00","debit","Parking","CHASE COLLEGE","",""
"10/19/2016","Venmo","VENMO            PAYMENT    315089798       WEB ID: 3264681992","12.00","debit","Transfer","CHASE COLLEGE","",""
"10/19/2016","Joan's On Third","JOAN'S ON THIRD LOS ANGELES CA10/18","17.44","debit","Food & Dining","CHASE COLLEGE","",""
"10/19/2016","Starbucks","STARBUCKS STORE 05290 LOS ANGELES CA         10/17","7.10","debit","Coffee Shops","CHASE COLLEGE","",""
"10/18/2016","Withdrawal Dept Education","Withdrawal DEPT EDUCATION Id:Withdrawal DEPT EDUCATION Id: 9102001001  Co: Dept Education","864.68","debit","Student Loan","Classic Checking","",""
"10/18/2016","Gelson Market","GELSON'S MARKET #30 SAN DIEGO CA000013554 9999999999 320162920855291402","19.99","debit","Groceries","Delta SkyMiles","",""
"10/18/2016","Bristol Farms","BRISTOL FARMS SAN DIEGO CA0023911 310-223-4700 320162920858429708","30.57","debit","Groceries","Delta SkyMiles","",""
"10/18/2016","Trader Joe's","TRADER JOE'S #020 QLAJOLLA CA0011623 626-599-3700 320162920861977957","28.37","debit","Groceries","Delta SkyMiles","",""
"10/18/2016","Souplantation","SOUPLANTATION 17 Q02 LOS ANGELESCA          10/18","16.33","debit","Restaurants","CHASE COLLEGE","",""
"10/18/2016","United Pacific Trade","76 - UNITED PACIFIC 57 LOS ANGELES CA        10/17","17.92","debit","Business Services","CHASE COLLEGE","",""
"10/18/2016","Dba United Oil","DBA UNITED OIL 4 LOS ANGELES CA762549  10/18","6.25","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/18/2016","ATM Withdrawal","ATM WITHDRAWAL004021  10/176120 W 3R","80.00","debit","Cash & ATM","CHASE COLLEGE","",""
"10/18/2016","Zara","ZARA USA 3985 LOS ANGELES CA826345  10/18","28.23","debit","Clothing","CHASE COLLEGE","",""
"10/18/2016","Lady","LADY LOVE LOS ANGELES CA10/18","27.98","debit","Clothing","CHASE COLLEGE","",""
"10/18/2016","Beverly Center Los","BEVERLY CENTER #486 LOS ANGELESCA           10/17","1.00","debit","Home","CHASE COLLEGE","",""
"10/18/2016","Withdrawal Dept Education","Withdrawal DEPT EDUCATION Id:Withdrawal DEPT EDUCATION Id: 9102001001  Co: Dept Education","864.68","debit","Student Loan","Classic Checking","",""
"10/17/2016","Blue Shield","Withdrawal BLUE SHIELD OF C IWithdrawal BLUE SHIELD OF C Id: 8940360524  Co: Blue Shield Of C","1320.60","debit","Health Insurance","Classic Checking","",""
"10/17/2016","Deposit Paypal Id","Deposit PAYPAL Id: Paypalsd11Deposit PAYPAL Id: Paypalsd11  Co: Paypal","1000.00","credit","Income","Classic Checking","",""
"10/17/2016","ATM Fee","NON-CHASE ATM WITHDRAW792773  10/142121 S. C","4.00","debit","ATM Fee","CHASE COLLEGE","",""
"10/17/2016","ATM Withdrawal","NON-CHASE ATM WITHDRAW792773  10/142121 S. C","20.00","debit","Cash & ATM","CHASE COLLEGE","",""
"10/17/2016","Groupon","GROUPON INC 877-788-7858 IL935997883U7 COUPONS 320162910848386835","150.48","debit","Uncategorized","Delta SkyMiles","",""
"10/17/2016","French Gourmet","THE FRENCH GOURMET BSAN DIEGO CA85363766291 858-488-1725 320162910838854704","7.10","debit","Restaurants","Delta SkyMiles","",""
"10/17/2016","El Paisa Mexican Grill","EL PAISA MEXICAN GRISAN DIEGO CA85309606290858-412-4256 320162910849160266","17.97","debit","Restaurants","Delta SkyMiles","",""
"10/17/2016","7-Eleven","7-ELEVEN 13603 00071SAN DIEGO CA330471017 7 858-483-1394 320162910842120851","6.48","debit","Fast Food","Delta SkyMiles","",""
"10/17/2016","Red Cafe","RED CARD CAFE 000000SAN DIEGO CA99999996291 8582918030 320162910842223348","39.56","debit","Restaurants","Delta SkyMiles","",""
"10/17/2016","Usa Teso","USA 63097 TESO630970SAN DIEGO CA501000888 0000000000 320162910842678330","6.40","debit","Gas & Fuel","Delta SkyMiles","",""
"10/17/2016","Target","TARGET BALBOA 2465 SAN DIEGO CA00862453 DISCOUNT STORE 320162910851027614","77.77","debit","Shopping","Delta SkyMiles","",""
"10/17/2016","Carnegie's","CARNEGIE'S CAFE LAUGHLIN NV10/14","15.78","debit","Restaurants","CHASE COLLEGE","",""
"10/17/2016","Starbucks","STARBUCKS STORE 00624 LOS ANGELES CA         10/14","9.50","debit","Coffee Shops","CHASE COLLEGE","",""
"10/17/2016","Junction Bar","GRAND JUNCTION BAR LAUGHLIN NV10/14","7.00","debit","Alcohol & Bars","CHASE COLLEGE","",""
"10/17/2016","Dip Dogs","DIP & DOGS LAUGHLIN NV10/15","1.83","debit","Uncategorized","CHASE COLLEGE","",""
"10/17/2016","The Gift Shop","THE GIFT SHOP LAUGHLIN NV10/15","3.50","debit","Gift","CHASE COLLEGE","",""
"10/17/2016","Chevron","CHEVRON 0094586 LUDLOW CA10/16","7.87","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/17/2016","HI Sahara Oasis, Inc.","HI SAHARA OASIS INC ESSEX CA002840  10/16","6.63","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/17/2016","Corner Bakery","CORNER BAKERY 0249 LOS ANGELES CA            10/16","9.79","debit","Restaurants","CHASE COLLEGE","",""
"10/17/2016","Target","TARGET T- 8480 Beverly Los Angeles CA        10/16","7.62","debit","Shopping","CHASE COLLEGE","",""
"10/17/2016","Yogurtland Beverly Connection","YOGURTLAND BEVERLY CON LOS ANGELES CA        10/16","6.30","debit","Business Services","CHASE COLLEGE","",""
"10/17/2016","Venmo","VENMO            PAYMENT    311802973       WEB ID: 3264681992","14.00","debit","Transfer","CHASE COLLEGE","",""
"10/17/2016","ATM Fee","NON-CHASE ATM FEE-WITH","2.50","debit","ATM Fee","CHASE COLLEGE","",""
"10/17/2016","Blue Shield","Withdrawal BLUE SHIELD OF C IWithdrawal BLUE SHIELD OF C Id: 8940360524  Co: Blue Shield Of C","1320.60","debit","Health Insurance","Classic Checking","",""
"10/17/2016","Transfer from PayPal Account","Deposit PAYPAL Id: Paypalsd11Deposit PAYPAL Id: Paypalsd11  Co: Paypal","1000.00","credit","Transfer","Classic Checking","",""
"10/16/2016","Goodwill Industries","Goodwill Industries #1 Chula VisGoodwill Industries #1 Chula Vista Ca Date 10/14/16 1      6288693208     8 5931","11.98","debit","Shopping","Visa Platinum","",""
"10/16/2016","Goodwill Industries","Goodwill Industries #1 Chula VisGoodwill Industries #1 Chula Vista Ca Date 10/14/16 1      6288693208     8 5931","11.98","debit","Shopping","Visa Platinum","",""
"10/16/2016","Transfer to Classic Checking","Transfer to Bank Account","1000.00","debit","Transfer","PayPal Account","",""
"10/15/2016","Uber.com","UBER *US OCT14 6VWHELP.UBER.COMPKK2VQQ7 HELP.UBER.COM 320162890816666884","4.75","debit","Rental Car & Taxi","Delta SkyMiles","",""
"10/15/2016","Nine Ten","NINE-TEN RESTAURANT LA JOLLA CA8589645400 320162890823428267","32.54","debit","Restaurants","Delta SkyMiles","",""
"10/15/2016","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0024850 626-599-3700 320162890819304389","52.15","debit","Groceries","Delta SkyMiles","",""
"10/15/2016","Daphne La Jolla","DAPHNE'S LA JOLLA 54SAN DIEGO CA000423095 8586236940 320162890819706795","7.55","debit","Uncategorized","Delta SkyMiles","",""
"10/15/2016","Vons Fuel","VONS FUEL 46SAN DIEGO CAAUTO FUEL DISPENSER 320162890818391301","43.24","debit","Gas & Fuel","Delta SkyMiles","",""
"10/14/2016","Withdrawal ATM ATM 1664 Garnet Avenue","Withdrawal at ATM #006739 ATMWithdrawal at ATM #006739 ATM San Diego County Cu 1664 Garnet Ave Sa","100.00","debit","Cash & ATM","Classic Checking","",""
"10/14/2016","Withdrawal ATM ATM 1664 Garnet Avenue","Withdrawal at ATM #006739 ATMWithdrawal at ATM #006739 ATM San Diego County Cu 1664 Garnet Ave Sa","100.00","debit","Cash & ATM","Classic Checking","",""
"10/14/2016","Starbucks","STARBUCKS STORE 0656ESCONDIDO CA00IL8HVEHA1 FAST FOOD RESTAURANT 320162880800392273","7.35","debit","Coffee Shops","Delta SkyMiles","",""
"10/14/2016","CVS","CVS PHARMACY SAN DIEGO CA10161523 8007467287 320162880804056800","4.75","debit","Pharmacy","Delta SkyMiles","",""
"10/14/2016","7-Eleven","7-ELEVEN 37954 00073SAN DIEGO CA280671014 7 858-270-1250 320162880799785410","4.31","debit","Fast Food","Delta SkyMiles","",""
"10/14/2016","Newberrys","NEWBERRY HIGH D NEWBERRY SPRI CA10/14","4.48","debit","Business Services","CHASE COLLEGE","",""
"10/14/2016","Wish Contextlogic","Refund from WISH (ContextLogic Inc.)","35.15","credit","Income","PayPal Account","",""
"10/13/2016","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","19.00","credit","Income","CHASE COLLEGE","",""
"10/13/2016","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","40.00","credit","Income","CHASE COLLEGE","",""
"10/13/2016","Tenants Trees","TENANTS OF THE TREES LOS ANGELESCA          10/12","8.00","debit","Restaurants","CHASE COLLEGE","",""
"10/13/2016","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","11.63","credit","Income","CHASE COLLEGE","",""
"10/13/2016","So Cal Gas","SO CAL GAS       PAID SCGC  0202018003      WEB ID: 1992052494","34.91","debit","Utilities","CHASE COLLEGE","",""
"10/13/2016","Shell","SHELL Service Station CULVER CITY CA 078040  10/13","5.60","debit","Gas & Fuel","CHASE COLLEGE","",""
"10/13/2016","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0067907 626-599-3700 320162870789771966","21.15","debit","Groceries","Delta SkyMiles","",""
"10/12/2016","Star Cleaners","STAR CLEANER LOS ANGELES CA10/10","36.00","debit","Laundry","CHASE COLLEGE","",""
"10/12/2016","Uber Us Oct","UBER   *US OCT11 TWKC 866-576-1039 CA        10/12","6.24","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/12/2016","Beverly Center Los","BEVERLY CENTER #486 LOS ANGELESCA           10/11","1.00","debit","Home","CHASE COLLEGE","",""
"10/12/2016","Trader Joe's","TRADER JOE'S #240 QPS LOS ANGELES CA 841188  10/12","41.97","debit","Groceries","CHASE COLLEGE","",""
"10/12/2016","Uber Us Oct","UBER   *US OCT11 52FY 866-576-1039 CA        10/12","23.82","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/12/2016","Venmo","VENMO            PAYMENT    309573103       WEB ID: 3264681992","9.00","debit","Transfer","CHASE COLLEGE","",""
"10/12/2016","CVS","CVS/PHARMACY #09 09503 Los Angeles CA319475  10/12","20.22","debit","Pharmacy","CHASE COLLEGE","",""
"10/12/2016","Sprouts Farmers Markets, LLC","SPROUTS FARMERS MARKSAN DIEGO CA000057280 8582708200 320162860771706067","10.42","debit","Groceries","Delta SkyMiles","",""
"10/12/2016","Gelson Market","GELSON'S MARKET #30 SAN DIEGO CA000040066 9999999999 320162860771706127","18.05","debit","Groceries","Delta SkyMiles","",""
"10/11/2016","YMCA","Withdrawal BR: 28 YMCA OF S IWithdrawal BR: 28 YMCA OF S Id: 1952039198  Co: Br: 28 Ymca Of S","48.00","debit","Gym","Classic Checking","",""
"10/11/2016","American Express","Withdrawal AMEX EPAYMENT Id:Withdrawal AMEX EPAYMENT Id: 0005000040  Co: Amex Epayment","4941.98","debit","Credit Card Payment","Classic Checking","",""
"10/11/2016","American Vintage","AMERICAN VINTAGE LOS ANGELES CA461052  10/08","25.06","debit","Uncategorized","CHASE COLLEGE","",""
"10/11/2016","Trader Joe's","TRADER JOE'S #240 QPS LOS ANGELES CA 257140  10/08","11.47","debit","Groceries","CHASE COLLEGE","",""
"10/11/2016","St Regis Liquors","ST. REGIS LIQUOR STORE LOS ANGELES CA        10/08","21.89","debit","Alcohol & Bars","CHASE COLLEGE","",""
"10/11/2016","Uber Us Oct","UBER   *US OCT08 SZLJ 866-576-1039 CA        10/09","6.72","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/11/2016","Uber Us Oct","UBER   *US OCT08 7WIQ 866-576-1039 CA        10/09","5.15","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/11/2016","Uber Us Oct","UBER   *US OCT08 RCWW 866-576-1039 CA        10/09","24.79","debit","Rental Car & Taxi","CHASE COLLEGE","",""
"10/11/2016","Joan's On Third","JOAN'S ON THIRD LOS ANGELES CA10/09","18.04","debit","Food & Dining","CHASE COLLEGE","",""
"10/11/2016","St Regis Liquors","ST. REGIS LIQUOR STORE LOS ANGELES CA        10/10","4.73","debit","Alcohol & Bars","CHASE COLLEGE","",""
"10/11/2016","Reformation Ca","REFORMATION 8667498854 CA10/10","63.22","debit","Uncategorized","CHASE COLLEGE","",""
"10/11/2016","City Parking","LA CITY PARKING METER LOS ANGELES CA         10/10","0.75","debit","Parking","CHASE COLLEGE","",""
"10/11/2016","Einstein Bros","EINSTEIN BROS BAGELS35 LOS ANGELES CA        10/10","6.88","debit","Coffee Shops","CHASE COLLEGE","",""
"10/11/2016","CVS","CVS/PHARMACY #09 09661 Los Angeles CA445172  10/10","21.76","debit","Pharmacy","CHASE COLLEGE","",""
"10/11/2016","M G Smoke Shop","MG SMOKE SHOP LOS ANGELES CA117192  10/10","6.50","debit","Food & Dining","CHASE COLLEGE","",""
"10/11/2016","Forever 21","0706 FOREVER 21 LOS ANGELES CA04/25","16.13","debit","Clothing","CHASE COLLEGE","",""
"10/11/2016","Venmo","VENMO            PAYMENT    307323602       WEB ID: 3264681992","10.00","debit","Transfer","CHASE COLLEGE","",""
"10/11/2016","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","15.00","credit","Income","CHASE COLLEGE","",""
"10/11/2016","ATM Deposit","ATM CHECK DEPOSIT 10/10 5600 WILSHIRE BLVD LOS ANGELES CA","418.54","credit","Income","CHASE COLLEGE","",""
"10/11/2016","Starbucks","STARBUCKS STORE 22601 LOS ANGELES CA         10/06","7.90","debit","Coffee Shops","CHASE COLLEGE","",""
"10/11/2016","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","9.00","credit","Income","CHASE COLLEGE","",""
"10/11/2016","St Regis Liquors","ST. REGIS LIQUOR STORE LOS ANGELES CA        10/06","19.17","debit","Alcohol & Bars","CHASE COLLEGE","",""
"10/11/2016","Silverlake","SILVERLAKE RAMEN LOS ANGELES CA10/06","15.71","debit","Mortgage & Rent","CHASE COLLEGE","",""
"10/11/2016","Famous Pizza","D'AMORES FAMOUS PIZZA LOS ANGELES CA         10/07","17.21","debit","Fast Food","CHASE COLLEGE","",""
"10/11/2016","Downtown","ACE HOTEL DOWNTOWN LA LOS ANGELES CA         10/07","16.63","debit","Shopping","CHASE COLLEGE","",""
"10/11/2016","Container Store","CONTAINERSTORELOSANGEL LOS ANGELES CA060851  10/08","28.32","debit","Furnishings","CHASE COLLEGE","",""
"10/11/2016","Pro-Mart","76 - PROMART 76 LOS ANGELES CA10/08","20.41","debit","Groceries","CHASE COLLEGE","",""
"10/11/2016","Netflix","NETFLIX.COM 866-579-7172 CA12467239355 DVD RENTALS 320162850758041706","9.99","debit","Movies & DVDs","Delta SkyMiles","",""
"10/11/2016","Forever 21","3540 FOREVER 21 3540SAN DIEGO CA43310750 619-294-9045 320162850759249876","78.62","debit","Clothing","Delta SkyMiles","",""
"10/11/2016","Vons","VONS Store 2116SAN DIEGO CAGROCERY STORE 320162850760498436","33.11","debit","Groceries","Delta SkyMiles","",""
"10/11/2016","Trader Joe's","TRADER JOE'S #021 QSAN DIEGO CA0043795 626-599-3700 320162850765191418","40.78","debit","Groceries","Delta SkyMiles","",""
"10/11/2016","World Curry","WORLD CURRY 65000000SAN DIEGO CA10156320161 8582704455 320162850756246372","29.78","debit","Restaurants","Delta SkyMiles","",""
"10/11/2016","YMCA","Withdrawal BR: 28 YMCA OF S IWithdrawal BR: 28 YMCA OF S Id: 1952039198  Co: Br: 28 Ymca Of S","48.00","debit","Gym","Classic Checking","",""
"10/11/2016","American Express","Withdrawal AMEX EPAYMENT Id:Withdrawal AMEX EPAYMENT Id: 0005000040  Co: Amex Epayment","4941.98","debit","Credit Card Payment","Classic Checking","",""
"10/10/2016","Ipo Bbq International","Ipo Bbq International Poway Ca<bIpo Bbq International Poway Ca Date 10/07/16 1      6281844892     2 5812","9.25","debit","Restaurants","Visa Platinum","",""
